attendance_rate,avg_test_score,engagement_time,assignment_completion,weak_topics_count,risk
0.725,67.2,72.4,0.893,4,1
0.494,55.4,158.5,0.909,1,1
0.314,76.4,67.8,0.875,1,1
0.698,83.9,77.0,0.712,2,1
0.862,67.3,39.2,0.907,4,1
0.839,46.7,66.4,0.65,11,1
0.719,69.5,33.0,0.679,0,1
0.46,68.9,57.9,0.635,4,1
0.413,70.4,13.3,0.85,2,1
0.384,81.1,400.0,0.597,3,1
0.655,68.0,202.4,0.669,5,0
0.724,72.7,59.0,0.614,2,1
0.409,67.2,73.7,0.347,2,1
0.841,60.7,33.7,0.546,5,1
0.77,77.3,14.4,0.886,0,1
0.829,64.6,111.6,0.667,5,0
0.432,65.3,113.9,0.946,2,1
0.397,67.4,52.0,0.888,8,1
0.511,78.7,36.2,0.917,5,1
0.876,71.2,41.8,0.501,7,1
0.714,75.2,209.0,0.759,7,0
0.711,82.9,77.5,0.223,4,1
0.608,86.0,167.5,0.764,5,1
0.406,56.7,90.1,0.588,4,1
0.526,73.6,140.9,0.674,3,1
0.906,80.1,92.7,0.297,5,1
0.399,74.3,22.1,0.726,4,1
0.651,59.9,93.5,0.767,3,0
0.862,100.0,74.3,0.696,6,1
0.41,83.7,39.2,0.89,5,1
0.664,51.9,21.8,0.629,3,1
0.965,63.6,68.4,0.584,3,1
0.544,93.1,136.2,0.769,6,1
0.534,67.8,47.4,0.809,2,1
0.728,54.2,81.0,0.398,4,1
0.74,49.2,42.1,0.638,3,1
0.691,49.5,124.5,0.811,6,1
0.979,67.4,183.4,0.76,4,0
0.755,61.4,101.9,0.914,7,0
0.581,77.7,10.0,0.73,3,1
0.351,59.9,151.9,0.855,3,1
0.323,61.0,124.2,0.746,4,1
0.921,79.9,10.6,0.684,2,1
0.55,75.7,50.9,0.753,2,1
0.542,71.8,28.8,0.897,4,1
0.881,100.0,36.4,0.285,3,1
0.9,76.3,96.9,0.633,3,0
0.313,75.0,84.8,0.651,3,1
0.955,51.6,66.0,0.963,5,1
0.613,83.9,23.2,0.764,4,1
0.384,54.3,25.6,0.672,5,1
0.914,72.2,65.1,0.548,3,1
0.817,95.7,84.2,0.761,2,0
0.329,69.3,88.1,0.955,5,1
0.964,59.8,56.0,0.66,2,1
0.339,86.3,204.6,0.686,2,1
0.579,58.0,156.7,0.67,2,1
0.647,57.4,48.2,0.626,2,0
0.714,79.3,31.3,0.555,3,1
0.811,74.3,88.1,0.751,4,0
0.733,59.2,24.2,0.844,4,1
0.481,68.7,107.8,0.861,9,1
0.647,94.2,32.8,0.695,4,1
0.838,70.2,104.7,0.686,3,0
0.389,84.9,92.0,0.446,6,1
0.881,64.1,42.8,0.668,3,1
0.685,70.6,30.3,0.859,1,1
0.588,72.8,90.8,0.984,3,1
0.731,95.3,153.0,0.81,10,1
0.317,62.7,113.0,0.568,2,1
0.734,72.6,27.1,0.588,4,1
0.53,55.4,24.3,0.752,1,1
0.963,68.1,40.0,0.413,5,1
0.427,84.8,173.2,0.842,4,1
0.795,73.0,87.5,0.935,2,0
0.329,97.4,44.0,0.888,2,1
0.717,82.8,26.5,0.669,2,1
0.819,83.3,44.5,0.727,5,1
0.364,50.2,66.7,0.791,3,1
0.905,77.1,185.4,0.875,4,0
0.945,73.5,91.1,0.629,2,0
0.865,75.5,127.7,0.666,3,0
0.466,65.8,16.9,0.747,3,1
0.85,65.4,61.7,0.767,6,1
0.304,60.4,10.0,0.779,5,1
0.481,63.3,12.4,0.432,0,1
0.977,71.8,47.8,0.816,6,1
0.427,61.7,100.8,0.403,3,1
0.537,30.0,168.4,0.791,5,1
0.578,56.2,91.2,0.593,1,1
0.686,71.9,76.1,0.689,4,1
0.989,53.9,123.3,0.529,5,1
0.311,95.9,124.2,0.622,4,1
0.533,60.3,170.0,0.953,3,1
0.8,30.0,11.7,0.742,1,1
0.529,57.4,42.9,0.797,6,1
0.466,73.7,66.7,0.67,2,1
0.336,84.3,82.6,0.94,4,1
0.382,96.2,52.4,0.878,2,1
0.688,66.1,94.4,0.799,4,0
0.822,61.3,109.6,0.801,6,0
0.49,67.1,31.3,0.688,5,1
0.707,76.3,42.9,0.76,4,1
0.572,69.3,54.2,0.945,9,1
0.86,89.5,61.7,0.926,4,1
0.632,66.9,29.1,0.545,1,1
0.914,74.5,39.6,0.669,5,1
0.649,65.8,125.7,0.724,1,0
0.361,74.6,72.3,0.698,5,1
0.692,76.4,89.6,0.495,3,1
0.431,88.6,14.4,0.496,6,1
0.736,92.5,109.4,0.709,4,0
0.431,76.7,50.8,0.75,7,1
0.885,81.0,49.4,0.78,3,1
0.607,68.9,137.7,0.894,2,1
0.75,90.6,81.2,0.676,4,0
0.666,69.2,102.5,0.546,6,0
0.503,82.3,113.7,0.595,3,1
0.873,78.3,15.7,0.723,4,1
0.332,68.3,10.0,0.917,3,1
0.682,71.9,37.0,0.838,8,1
0.419,62.8,126.5,0.517,7,1
0.368,85.7,77.5,0.577,6,1
0.703,54.8,30.7,0.77,3,1
0.578,75.7,48.5,0.573,1,1
0.625,88.2,103.6,0.431,0,1
0.421,74.6,161.2,0.509,5,1
0.316,100.0,111.3,0.945,5,1
0.59,70.4,79.9,0.829,3,1
0.59,86.2,18.1,0.348,2,1
0.792,72.8,47.7,0.695,7,1
0.75,84.5,58.1,0.622,2,1
0.57,70.2,36.1,0.982,3,1
0.756,81.1,33.4,0.785,6,1
0.737,53.2,93.1,0.472,4,1
0.912,75.5,40.9,0.957,6,0
0.617,66.2,141.2,0.939,5,1
0.499,66.3,71.6,0.659,6,1
0.846,81.4,39.6,0.415,4,1
0.457,59.8,10.0,0.827,1,1
0.934,78.3,47.4,0.843,6,1
0.31,83.1,10.0,0.614,2,1
0.304,66.7,32.2,0.985,5,1
0.357,72.0,86.9,0.92,2,1
0.551,61.7,45.4,0.752,4,1
0.333,56.6,23.3,0.627,4,1
0.961,50.3,33.2,0.657,0,1
0.727,79.7,48.3,0.286,8,1
0.32,65.5,83.5,0.938,1,1
0.94,74.5,27.7,0.56,3,1
0.767,60.0,37.8,0.661,2,1
0.885,53.9,23.5,0.966,2,1
0.835,77.7,69.4,0.756,4,1
0.547,72.1,26.7,0.921,3,1
0.676,62.8,85.7,0.833,5,0
0.68,77.4,92.6,0.93,2,0
0.476,54.6,75.0,0.676,3,1
0.316,66.4,63.4,0.653,2,1
0.543,94.4,85.7,0.786,6,1
0.389,74.2,60.5,0.87,0,1
0.83,73.3,29.4,0.599,2,1
0.371,76.0,31.4,0.717,3,1
0.897,54.7,229.7,0.578,7,1
0.539,73.0,44.9,0.745,7,1
0.478,47.1,57.5,0.615,4,1
0.983,76.5,90.9,0.735,3,0
0.551,68.8,68.8,0.842,3,1
0.484,90.6,160.0,0.615,1,1
0.429,65.8,159.8,0.836,4,1
0.505,88.3,166.8,0.571,3,1
0.812,75.7,71.0,0.514,2,0
0.733,71.0,54.3,0.763,3,1
0.652,74.8,14.7,0.507,4,1
0.595,52.3,187.0,0.754,1,0
0.895,54.0,80.6,0.928,6,1
0.579,94.5,23.9,0.62,3,1
0.553,58.9,238.4,0.939,6,1
0.787,71.1,120.8,0.968,7,0
0.965,31.1,221.3,0.902,7,1
0.964,72.9,75.3,0.575,5,1
0.419,63.4,60.2,0.813,4,0
0.652,73.0,20.7,0.434,1,1
0.573,87.4,298.6,0.368,2,1
0.93,82.6,13.5,0.604,2,1
0.381,77.4,29.3,0.837,4,1
0.719,79.2,16.2,0.934,3,1
0.725,69.9,32.9,0.754,4,1
0.332,71.2,228.0,0.969,3,1
0.946,57.8,83.3,0.659,0,0
0.661,85.5,10.0,0.743,6,1
0.354,86.6,117.1,0.584,0,1
0.4,51.3,64.1,0.726,3,1
0.352,77.1,227.5,0.538,6,1
0.518,60.8,104.2,0.834,4,1
0.626,50.6,103.2,0.614,6,1
0.532,93.2,83.9,0.9,4,1
0.786,95.4,133.4,0.706,4,0
0.963,62.1,222.1,0.885,7,0
0.768,94.2,90.7,0.714,3,0
0.826,55.2,60.4,0.748,5,1
0.496,67.9,42.2,0.389,4,1
0.405,74.8,30.8,0.808,1,1
0.506,55.0,45.8,0.668,4,1
0.926,79.5,145.7,0.967,3,0
0.409,86.2,34.9,0.597,3,1
0.87,67.1,160.5,0.561,2,0
0.562,51.6,198.6,0.629,5,1
0.599,73.4,59.2,0.727,5,1
0.788,79.8,37.5,0.698,2,1
0.71,51.6,119.1,0.693,4,1
0.903,87.8,210.3,0.757,0,0
0.788,59.0,102.9,0.725,6,0
0.383,32.5,231.6,0.556,1,1
0.927,78.3,45.4,0.368,2,0
0.788,100.0,34.4,0.419,5,1
0.619,86.4,52.3,0.854,3,1
0.925,88.1,78.3,0.641,3,0
0.446,76.1,123.9,0.526,3,1
0.506,66.1,14.1,0.728,3,1
0.889,58.7,121.2,0.947,8,1
0.796,45.1,139.1,0.849,6,1
0.808,63.2,67.8,0.718,3,1
0.362,60.9,96.5,0.44,3,1
0.736,47.3,93.9,0.872,1,0
0.542,83.3,27.6,0.705,8,1
0.39,56.0,42.8,0.756,6,1
0.696,87.5,35.5,0.582,2,1
0.424,76.4,38.4,0.931,4,1
0.321,69.3,107.3,0.412,3,1
0.784,39.4,57.3,0.674,3,1
0.976,88.1,121.3,0.892,2,0
0.703,80.5,166.5,0.474,4,1
0.358,100.0,39.3,0.375,6,1
0.575,79.5,28.5,0.65,4,1
0.72,66.6,10.0,0.621,6,1
0.396,62.0,28.2,0.853,4,1
0.952,45.8,92.2,0.461,3,1
0.675,67.7,88.7,0.857,4,0
0.974,60.3,93.6,0.742,6,0
0.621,67.7,33.8,0.816,5,1
0.457,73.5,89.4,0.822,2,1
0.491,68.6,69.3,0.27,3,1
0.546,49.0,55.3,0.647,6,1
0.906,76.9,78.3,0.718,7,1
0.469,62.5,77.4,0.659,5,1
0.724,77.9,35.1,0.549,8,1
0.359,52.2,63.4,0.789,3,1
0.618,78.1,21.1,0.736,2,1
0.364,71.8,66.8,0.706,0,1
0.804,92.4,12.5,0.814,7,1
0.718,97.6,22.6,0.505,3,1
0.332,72.3,62.5,0.745,6,1
0.403,61.8,190.8,0.625,5,1
0.42,62.0,69.0,0.813,5,1
0.606,84.0,53.3,0.817,2,1
0.928,92.1,40.8,0.867,6,1
0.869,69.6,62.9,0.811,3,1
0.986,78.7,39.9,0.773,5,1
0.867,43.6,74.2,0.823,4,1
0.563,84.5,104.1,0.669,5,1
0.934,100.0,106.3,0.73,5,1
0.924,85.7,94.2,0.566,5,0
0.761,94.2,143.2,0.564,3,0
0.441,71.3,95.4,0.874,1,1
0.756,66.3,49.9,0.74,3,1
0.381,79.5,61.3,0.703,4,1
0.336,93.5,88.9,0.847,1,1
0.678,65.2,96.0,0.821,5,0
0.326,65.2,40.1,0.941,4,1
0.806,58.0,180.3,0.807,8,1
0.938,42.5,184.4,0.593,6,1
0.421,79.6,118.0,0.776,4,1
0.931,48.8,27.0,0.715,3,1
0.717,100.0,74.4,0.664,7,1
0.536,93.7,96.3,0.52,5,1
0.394,64.0,191.4,0.795,6,1
0.355,69.4,103.9,0.661,4,1
0.347,57.7,22.9,0.654,6,1
0.477,66.2,55.5,0.881,6,1
0.562,72.7,17.2,0.693,5,1
0.586,71.2,26.4,0.849,5,1
0.526,48.7,149.9,0.703,4,1
0.77,67.8,94.6,0.895,3,1
0.751,72.9,149.0,0.889,4,0
0.998,90.9,23.7,0.525,3,1
0.688,76.3,75.9,0.743,3,1
0.524,55.2,90.8,0.945,7,1
0.658,51.2,51.1,0.784,8,1
0.599,70.7,105.2,0.425,6,1
0.539,58.7,364.4,0.923,5,1
0.854,71.9,217.5,0.713,5,0
0.686,66.8,102.4,0.564,1,0
0.708,74.9,74.2,0.676,8,1
0.384,67.3,40.4,0.974,7,1
0.704,63.5,30.9,0.704,3,1
0.379,89.9,99.1,0.952,8,1
0.658,61.7,45.4,0.919,6,1
0.443,65.2,80.6,0.432,4,1
0.991,62.0,96.0,0.527,3,0
0.326,77.2,90.9,0.724,4,1
0.455,73.3,44.4,0.888,6,1
0.336,64.8,15.0,0.464,3,1
0.34,70.7,71.2,0.777,3,1
0.688,79.2,47.5,0.689,3,1
0.499,87.9,18.5,0.834,5,1
0.646,78.1,26.8,0.674,3,1
0.621,69.8,24.5,0.827,3,1
0.526,74.2,43.7,0.437,2,1
0.844,61.6,57.6,0.848,1,1
0.363,97.7,104.2,0.795,4,1
0.715,88.8,82.6,0.882,3,0
0.578,57.6,37.5,0.62,1,1
0.743,60.2,32.4,0.793,1,0
0.825,78.9,53.3,0.38,1,1
0.447,60.3,187.2,0.763,0,1
0.714,73.7,30.1,0.557,5,0
0.993,84.0,99.5,0.594,8,1
0.974,86.1,51.1,0.624,1,1
0.459,91.7,102.9,0.845,0,1
0.341,82.5,72.8,0.644,3,1
0.93,86.3,49.1,0.52,6,1
0.979,59.4,99.5,0.579,2,0
0.871,87.8,113.2,0.593,7,0
0.713,78.8,67.6,0.45,7,1
0.945,83.6,164.0,0.712,4,0
0.752,65.2,57.7,0.551,3,1
0.326,47.2,32.7,0.676,5,1
0.654,74.4,76.7,0.786,2,1
0.437,96.0,81.4,0.749,5,1
0.76,91.0,93.5,0.968,3,0
0.86,86.6,166.9,0.848,4,0
0.789,72.0,161.5,0.8,4,0
0.384,73.7,94.4,0.689,7,1
0.86,70.7,28.0,0.755,3,1
0.858,66.6,124.8,0.682,2,0
0.762,91.6,102.1,0.678,2,0
0.647,91.1,60.0,0.418,4,1
0.502,68.2,62.0,0.575,2,1
0.46,78.9,97.0,0.485,6,1
0.39,63.4,94.9,0.835,3,1
0.362,93.3,99.0,0.72,3,1
0.927,84.1,103.2,0.583,4,0
0.562,79.5,69.7,0.669,3,1
0.673,62.0,34.9,0.787,7,1
0.396,69.4,139.6,0.436,2,1
0.619,63.5,92.2,0.676,4,1
0.908,58.5,26.3,0.542,4,1
0.39,67.2,57.0,0.917,4,1
1.0,82.3,46.0,0.706,7,1
0.864,88.0,57.1,0.858,3,1
0.38,58.2,21.9,0.795,3,1
0.488,80.1,181.0,0.845,4,1
0.632,73.0,42.2,0.844,4,1
0.843,56.2,12.0,0.688,8,1
0.876,77.6,96.0,0.617,3,0
0.564,83.8,35.2,0.801,4,1
0.908,75.3,131.0,0.832,6,0
0.68,58.8,113.9,0.984,4,0
0.914,67.4,86.3,0.836,3,0
0.579,100.0,68.2,0.498,1,1
0.832,61.7,10.0,0.718,3,1
0.42,66.9,69.8,0.777,4,1
0.399,83.2,66.7,0.797,2,1
0.991,74.0,100.2,0.891,4,0
0.827,67.8,10.0,0.653,2,1
0.602,70.4,124.5,0.571,4,1
0.951,100.0,101.6,0.789,3,0
0.739,56.2,36.8,0.579,7,1
0.933,49.5,120.5,0.861,1,1
0.371,83.4,82.2,0.848,4,1
0.934,48.4,79.8,0.551,4,1
0.344,96.9,48.4,0.644,3,1
0.49,80.1,188.0,0.781,7,1
0.488,92.9,115.4,0.643,5,1
0.907,77.4,11.4,0.507,3,0
0.325,53.2,80.4,0.582,3,1
0.572,65.5,43.9,0.553,7,1
0.349,66.3,65.5,0.853,3,0
0.308,95.2,107.5,0.7,4,1
0.791,78.2,71.2,0.787,4,0
0.883,74.1,15.1,0.815,3,1
0.947,72.9,110.9,0.738,4,0
0.437,93.9,95.9,0.943,5,1
0.77,68.2,266.2,0.862,5,0
0.945,72.8,214.9,0.473,6,1
0.557,60.3,91.2,0.933,2,1
0.578,78.1,49.5,0.284,2,1
0.765,30.0,129.4,0.885,3,1
0.822,61.3,112.1,0.9,4,0
0.551,40.4,55.0,0.636,3,1
0.645,71.8,42.5,0.881,3,1
0.672,100.0,57.3,0.558,4,1
0.784,75.1,55.5,0.721,1,1
0.407,60.2,47.5,0.812,4,1
0.667,100.0,15.0,0.771,0,1
0.468,67.6,36.0,0.43,3,1
0.586,64.7,141.6,0.211,1,1
0.843,69.1,39.8,0.475,6,1
0.675,68.5,173.3,0.995,6,1
0.975,79.2,108.8,0.669,7,0
0.375,60.3,84.8,0.641,6,0
0.425,69.7,91.8,0.792,4,1
0.5,70.3,61.9,0.388,5,1
0.523,85.1,278.4,0.711,5,1
0.965,61.0,36.3,0.646,6,1
0.795,91.3,241.4,0.692,3,0
0.866,87.5,58.6,0.37,6,1
0.435,60.9,10.0,0.94,0,1
0.722,67.5,64.8,0.647,4,1
0.993,81.4,116.4,0.956,2,0
0.935,80.2,121.9,0.464,3,1
0.743,90.7,35.1,0.701,3,1
0.53,78.3,41.5,0.901,2,1
0.628,56.5,99.8,0.67,4,1
0.628,61.7,93.2,0.876,3,1
0.364,55.5,52.6,0.656,2,1
0.833,49.3,137.4,0.879,5,1
0.398,86.6,96.7,0.63,11,1
0.631,100.0,155.4,0.822,7,1
0.899,100.0,78.0,0.473,5,1
0.472,71.8,270.4,0.636,3,1
0.641,77.3,10.0,0.375,7,1
0.668,82.7,49.9,0.978,10,1
0.623,74.5,201.3,0.648,6,1
0.542,45.8,10.0,0.896,3,1
0.86,59.8,23.7,0.824,2,1
0.84,69.5,97.4,0.797,4,0
0.979,73.1,36.4,0.966,4,1
0.901,44.6,94.8,0.659,6,1
0.689,78.4,104.3,0.778,5,0
0.937,64.6,159.3,0.786,6,1
0.324,100.0,117.9,0.856,6,1
0.473,98.7,64.2,0.319,6,1
0.431,59.6,25.2,0.899,6,1
0.354,75.9,85.4,0.686,9,1
0.801,72.5,74.1,0.537,2,1
0.421,85.6,10.0,0.792,4,1
0.734,77.7,27.1,0.748,4,1
0.322,100.0,48.5,0.632,5,0
0.609,59.5,47.7,0.758,3,1
0.956,78.5,285.0,0.513,8,1
0.869,67.2,10.0,0.738,4,1
0.505,69.7,17.8,0.914,1,1
0.561,78.7,28.2,0.793,3,1
0.314,38.2,47.9,0.671,2,1
0.872,67.9,10.0,0.872,7,1
0.571,76.9,27.4,0.824,6,1
0.952,65.8,153.8,0.951,6,0
0.488,62.9,22.6,0.795,6,1
0.728,49.7,127.8,0.399,2,1
0.358,68.4,24.2,0.836,1,1
0.951,61.3,28.3,0.758,3,1
0.914,45.3,121.6,0.844,4,1
0.663,54.2,85.3,0.802,4,1
0.958,43.5,11.0,0.807,6,0
0.787,48.0,123.8,0.614,2,1
0.615,60.9,43.4,0.62,5,1
0.329,75.5,16.3,0.622,5,0
0.428,85.8,44.7,0.703,3,1
0.968,86.6,142.6,0.961,0,0
0.926,52.5,130.8,0.486,2,1
0.366,70.9,38.0,0.873,2,1
0.396,76.7,115.9,0.662,3,1
0.353,46.0,19.7,0.68,2,1
0.505,71.4,70.7,0.624,4,1
0.319,87.8,60.1,0.709,1,1
0.472,62.1,219.4,0.961,1,1
0.617,91.2,10.3,0.867,6,1
0.644,86.6,19.6,0.64,3,1
0.833,59.6,314.2,0.712,4,1
0.897,88.3,19.6,0.678,4,1
0.423,68.8,242.8,0.612,8,1
0.929,69.3,144.6,0.715,7,0
0.799,89.9,132.5,0.858,6,0
0.693,59.0,78.9,0.78,3,1
0.829,64.2,86.4,0.859,5,0
0.352,60.4,105.3,0.768,3,1
0.559,87.8,122.4,0.675,3,1
0.705,64.6,48.7,0.501,8,1
0.404,98.1,100.9,0.404,5,1
0.359,65.6,205.0,0.91,5,1
0.643,37.0,153.0,0.84,3,1
0.81,61.4,29.6,0.479,2,1
0.415,52.9,10.0,0.476,4,1
0.99,70.7,78.2,0.882,3,1
0.671,69.4,75.5,0.751,4,1
0.867,75.9,23.2,0.522,6,1
0.497,60.2,54.7,0.736,3,1
0.497,56.4,86.4,0.441,2,1
0.431,72.2,10.0,0.808,2,1
0.881,79.2,91.1,0.586,3,0
0.953,69.9,227.1,0.731,6,0
0.944,55.7,196.1,0.596,2,0
0.749,95.7,98.3,0.451,6,1
0.873,49.6,21.0,0.582,5,1
0.863,67.5,52.0,0.988,1,1
0.924,75.6,29.9,0.792,8,1
0.47,70.2,31.5,0.525,5,0
0.437,55.0,67.0,0.654,6,1
0.609,76.8,43.0,0.824,4,1
0.737,83.1,198.2,0.871,2,0
0.349,57.3,94.1,0.845,8,1
0.552,92.1,24.8,0.774,3,1
0.518,93.7,47.6,0.773,2,1
0.738,74.9,147.1,0.838,2,0
0.544,41.7,12.7,0.728,1,1
0.612,59.6,72.6,0.757,5,1
0.649,67.3,26.8,0.38,4,1
0.575,92.7,94.2,0.824,4,1
0.663,69.4,84.6,0.927,7,0
0.559,76.2,120.8,0.554,4,1
0.988,43.6,149.8,0.778,1,1
0.808,75.7,109.7,0.394,2,0
0.631,87.8,119.3,0.969,5,1
0.803,84.6,105.5,0.789,4,0
0.495,69.0,61.5,0.84,4,1
0.46,72.9,57.2,0.744,4,1
0.708,71.0,47.3,0.377,2,1
0.979,49.8,167.8,0.785,3,1
0.414,76.8,50.9,0.403,7,1
0.679,98.5,107.2,0.791,1,0
0.648,72.0,119.0,0.751,3,1
0.309,75.0,38.3,0.715,5,1
0.828,53.4,85.1,0.807,5,1
0.558,58.6,129.2,0.637,3,1
0.684,85.0,42.6,0.714,5,1
0.504,70.4,10.0,0.859,3,1
0.379,71.3,105.9,0.721,5,1
0.407,81.9,133.4,0.461,2,1
0.616,57.6,79.3,0.711,4,1
0.308,66.6,29.4,0.508,4,1
0.473,65.4,118.6,0.477,7,1
0.429,54.3,60.8,0.898,6,1
0.779,71.2,126.3,0.452,3,1
0.422,86.8,27.2,0.591,1,1
0.95,76.5,67.4,0.67,3,1
0.816,74.8,29.0,0.579,3,1
0.412,78.8,95.0,0.594,6,1
0.397,63.0,19.2,0.599,1,1
0.695,100.0,27.8,0.667,3,1
0.99,76.6,71.4,0.689,1,1
0.68,87.4,57.6,0.503,4,1
0.424,100.0,74.2,0.484,3,1
0.544,66.6,64.0,0.922,5,1
0.652,55.6,30.3,0.94,6,1
0.667,80.2,189.4,0.832,1,0
0.903,81.2,164.5,0.764,1,0
0.762,100.0,58.9,0.791,5,1
0.69,93.6,16.3,0.71,4,1
0.554,94.1,179.6,0.887,3,1
0.502,56.1,10.0,0.894,2,1
0.365,71.9,76.0,0.867,6,1
0.91,79.7,33.5,0.755,5,1
0.343,49.8,71.9,0.276,3,1
0.444,89.5,64.3,0.621,5,1
0.539,79.6,67.8,0.507,3,1
0.672,64.8,49.9,0.576,0,1
0.852,30.0,97.0,0.943,1,1
0.63,61.5,61.9,0.696,3,1
0.819,69.9,53.1,0.572,2,1
0.69,78.8,56.6,0.838,5,1
0.718,89.7,25.4,0.904,4,1
0.867,65.6,44.6,0.716,7,1
0.81,66.3,153.4,0.812,2,0
0.764,91.8,24.7,0.485,0,1
0.566,66.1,238.8,0.864,3,1
0.833,80.6,150.2,0.822,0,0
0.825,57.3,53.0,0.708,2,1
0.312,75.3,192.6,0.331,4,1
0.513,69.4,74.5,0.72,7,1
0.593,100.0,123.6,0.31,2,1
0.683,63.7,115.6,0.56,3,0
0.956,80.2,69.4,0.531,3,0
0.492,77.7,91.7,0.469,1,1
0.318,68.5,66.9,0.783,1,1
0.423,69.7,61.5,0.579,0,1
0.741,78.4,28.7,0.449,6,1
0.366,43.9,15.3,0.948,8,1
0.387,85.4,193.3,0.601,5,1
0.761,89.8,62.9,0.963,6,1
0.471,75.9,210.0,0.623,4,1
0.44,73.3,67.6,0.339,8,1
0.593,82.0,108.2,0.245,4,1
0.875,74.2,19.1,0.841,5,1
0.766,64.8,25.8,0.554,3,1
0.959,67.4,63.3,0.617,4,1
0.742,62.0,51.8,0.786,3,1
0.368,83.3,22.1,0.873,7,1
0.549,73.6,65.0,0.736,9,1
0.35,94.6,138.8,0.677,8,0
0.974,46.7,31.8,0.518,1,1
0.508,77.5,73.2,0.521,3,1
0.347,77.3,152.5,0.75,2,1
0.344,73.4,115.2,0.614,5,1
0.764,48.4,24.7,0.764,6,1
0.537,63.3,61.5,0.512,2,1
0.444,65.0,50.6,0.717,4,1
0.581,54.1,76.3,0.632,6,1
0.87,84.4,80.4,0.579,6,0
0.633,85.0,34.7,0.919,2,1
0.457,65.6,137.9,0.619,3,1
0.481,72.8,78.5,0.632,9,1
0.696,72.8,79.4,0.602,9,1
0.743,79.8,45.9,0.833,2,1
0.482,74.2,20.6,0.971,1,1
0.401,48.3,130.0,0.887,3,1
0.407,87.2,74.6,0.845,3,1
0.713,72.9,55.6,0.908,9,0
0.856,46.1,115.3,0.837,4,1
0.413,77.6,86.5,0.814,4,1
0.981,83.4,57.3,0.688,4,1
0.839,52.1,146.2,0.872,5,1
0.656,85.7,39.3,0.356,4,1
0.853,63.6,88.9,0.736,4,0
0.827,90.5,243.1,0.724,2,0
0.382,72.1,23.1,0.486,5,1
0.353,69.6,55.5,0.875,4,1
0.786,69.7,25.8,0.879,2,0
0.356,73.6,135.9,0.68,1,1
0.678,57.7,106.8,0.855,3,0
0.926,58.5,40.5,0.553,3,1
0.468,98.2,60.0,0.565,1,1
0.879,46.4,51.8,0.646,5,1
0.308,86.3,10.0,0.693,3,0
0.764,83.2,62.8,0.52,7,1
0.752,77.4,102.8,0.618,3,0
0.973,60.0,187.1,0.806,3,0
0.474,94.9,22.0,0.822,1,1
0.721,68.9,34.9,0.838,5,1
0.948,64.5,225.5,0.571,1,0
0.513,74.0,91.2,0.623,2,1
0.597,68.7,156.5,0.746,6,1
0.676,82.2,98.9,0.563,6,0
0.522,79.7,57.4,0.598,3,1
0.746,100.0,69.3,0.774,5,1
0.569,98.3,21.0,0.974,4,1
0.849,43.0,128.9,0.312,7,1
0.639,80.8,45.8,0.779,7,1
0.766,59.2,62.2,0.774,4,1
0.899,64.5,19.7,0.901,3,1
0.398,86.2,10.5,0.901,6,0
